List Sr.No.,Set No.,2022 Set,First Name,Surname,Name,Country,State Association,DOB,Age,Specialism,Batting,Bowling,Test caps,ODI caps,T20 caps,IPL,Previous IPLTeam(s),2021 Team,2021 IPL,C/U/A,Reserve Price Rs Lakh
1,1,M,R.,Ashwin,R. Ashwin,India,TNCA,17-09-1986,35,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,84,112,51,167,"CSK, RSP, KXIP, DC",DC,13,Capped,200
2,1,M,Trent,Boult,Trent Boult,New Zealand,,22-07-1989,32,BOWLER,RHB,LEFT ARM Fast Medium,74,93,44,62,"SRH, KKR, DD,MI",MI,14,Capped,200
3,1,M,Pat,Cummins,Pat Cummins,Australia,,08-05-1993,28,ALL-ROUNDER,RHB,RIGHT ARM Fast,38,69,37,37,"DD, MI, KKR",KKR,7,Capped,200
4,1,M,Quinton,De Kock,Quinton De Kock,South Africa,,17-12-1992,29,WICKETKEEPER,LHB,-,54,125,61,77,"SRH, DD, RCB, MI",MI,11,Capped,200
5,1,M,Shikhar,Dhawan,Shikhar Dhawan,India,DDCA,05-12-1985,36,BATSMAN,LHB,-,34,146,68,192,"DCH, MI, SRH, DC",DC,16,Capped,200
6,1,M,Faf,Du Plessis,Faf Du Plessis,South Africa,,13-07-1984,37,BATSMAN,RHB,RIGHT ARM Leg Spin,69,143,50,100,"RPS, CSK",CSK,16,Capped,200
7,1,M,Shreyas,Iyer,Shreyas Iyer,India,MCA,06-12-1994,27,BATSMAN,RHB,RIGHT ARM Leg Spin,2,23,32,87,DC,DC,8,Capped,200
8,1,M,Kagiso,Rabada,Kagiso Rabada,South Africa,,25-05-1995,26,BOWLER,LHB,RIGHT ARM Fast,50,82,40,50,DC,DC,15,Capped,200
9,1,M,Mohammad,Shami,Mohammad Shami,India,CAB,09-03-1990,32,BOWLER,RHB,RIGHT ARM Fast,57,79,17,77,"DCH, KKR, DD, PBKS",PBKS,14,Capped,200
10,1,M,David,Warner,David Warner,Australia,,27-10-1986,35,BATSMAN,LHB,-,91,128,88,150,"DD, SRH",SRH,8,Capped,200
11,2,BA1,Shimron,Hetmyer,Shimron Hetmyer,West Indies,,26-12-1996,25,BATSMAN,LHB,RIGHT ARM Leg Spin,16,47,42,31,"RCB, DC",DC,14,Capped,150
12,2,BA1,David,Miller,David Miller,South Africa,,10-06-1989,32,BATSMAN,LHB,-,138,95,89,"KXIP, RR",RR,9,Capped,100,
13,2,BA1,Devdutt,Padikkal,Devdutt Padikkal,India,KSCA,07-07-2000,21,BATSMAN,LHB,RIGHT ARM Off Spin,,2,29,RCB,RCB,14,Capped,200,
14,2,BA1,Manish,Pandey,Manish Pandey,India,KSCA,10-09-1989,32,BATSMAN,RHB,RIGHT ARM Off Spin,29,39,154,"MI, RCB, PWI, KKR, SRH",SRH,8,Capped,100,
15,2,BA1,Suresh,Raina,Suresh Raina,India,UPCA,27-11-1986,35,BATSMAN,LHB,RIGHT ARM Off Spin,18,226,78,205,"CSK, GL",CSK,12,Capped,200
16,2,BA1,Jason,Roy,Jason Roy,England,,21-07-1990,31,BATSMAN,RHB,-,5,98,53,13,"GL, DC, SRH",SRH,5,Capped,200
17,2,BA1,Steve,Smith,Steve Smith,Australia,,02-06-1989,32,BATSMAN,RHB,-,82,128,52,103,"PWI, RPS, RR, DC",DC,8,Capped,200
18,2,BA1,Robin,Uthappa,Robin Uthappa,India,KCA,11-11-1985,36,BATSMAN,RHB,-,46,13,193,"MI, PWI, RCB, KKR, RR, CSK",CSK,4,Capped,200,
19,3,AL1,Shakib,Al Hasan,Shakib Al Hasan,Bangladesh,,24-03-1987,35,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,59,215,94,71,"SRH, KKR",KKR,8,Capped,200
20,3,AL1,Dwayne,Bravo,Dwayne Bravo,West Indies,,07-10-1983,38,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,40,164,91,151,"MI, GL, CSK",CSK,11,Capped,200
21,3,AL1,Wanindu,Hasaranga,Wanindu Hasaranga,Sri Lanka,,29-07-1997,24,ALL-ROUNDER,RHB,RIGHT ARM Leg Spin,4,29,33,2,RCB,RCB,2,Capped,100
22,3,AL1,Jason,Holder,Jason Holder,West Indies,,05-11-1991,30,ALL-ROUNDER,RHB,RIGHT ARM Fast,53,124,30,26,"CSK, KKR, SRH",SRH,8,Capped,150
23,3,AL1,Mitchell,Marsh,Mitchell Marsh,Australia,,20-10-1991,30,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,32,63,36,21,"DCH, PWI, RPS, SRH",,Capped,200,
24,3,AL1,Mohammad,Nabi,Mohammad Nabi,Afghanistan,,01-01-1985,37,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,3,127,86,17,SRH,SRH,3,Capped,100
25,3,AL1,Krunal,Pandya,Krunal Pandya,India,BCA,24-03-1991,31,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,5,19,84,MI,MI,13,Capped,200,
26,3,AL1,Harshal,Patel,Harshal Patel,India,HCA,23-11-1990,31,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,,2,63,"DC, RCB",RCB,15,Capped,200,
27,3,AL1,Nitish,Rana,Nitish Rana,India,DDCA,27-12-1993,28,ALL-ROUNDER,LHB,RIGHT ARM Off Spin,1,2,77,"MI, KKR",KKR,17,Capped,100,
28,3,AL1,Washington,Sundar,Washington Sundar,India,TNCA,05-10-1999,22,ALL-ROUNDER,LHB,RIGHT ARM Off Spin,4,1,31,42,RCB,RCB,6,Capped,150
29,4,WK1,Jonny,Bairstow,Jonny Bairstow,England,,26-09-1989,32,WICKETKEEPER,RHB,-,80,89,63,28,SRH,SRH,7,Capped,150
30,4,WK1,Sam,Billings,Sam Billings,England,,15-06-1991,30,WICKETKEEPER,RHB,-,1,25,33,22,"CSK, DC",DC,0,Capped,200
31,4,WK1,Dinesh,Karthik,Dinesh Karthik,India,TNCA,01-06-1985,36,WICKETKEEPER,RHB,-,26,94,32,213,"KXIP, MI, DD, RCB, GL, KKR",KKR,17,Capped,200
32,4,WK1,Ishan,Kishan,Ishan Kishan,India,JSCA,18-07-1998,23,WICKETKEEPER,LHB,-,2,5,61,"GL , MI",MI,10,Capped,200,
33,4,WK1,Nicholas,Pooran,Nicholas Pooran,West Indies,,02-10-1995,26,WICKETKEEPER,LHB,-,34,49,33,"MI, PBKS",PBKS,12,Capped,150,
34,4,WK1,Ambati,Rayudu,Ambati Rayudu,India,ACA,23-09-1985,36,WICKETKEEPER,RHB,-,55,6,175,"MI, CSK",CSK,16,Capped,200,
35,4,WK1,Wriddhiman,Saha,Wriddhiman Saha,India,CAB,24-10-1984,37,WICKETKEEPER,RHB,-,40,9,133,"KKR, CSK, KXIP, SRH",SRH,9,Capped,100,
36,4,WK1,Matthew,Wade,Matthew Wade,Australia,,26-12-1987,34,WICKETKEEPER,LHB,-,36,97,55,3,DD,,Capped,200,
37,5,FA1,Deepak,Chahar,Deepak Chahar,India,RCA,07-08-1992,29,BOWLER,RHB,RIGHT ARM Fast Medium,5,17,63,"RPS, CSK",CSK,15,Capped,200,
38,5,FA1,Lockie,Ferguson,Lockie Ferguson,New Zealand,,13-06-1991,30,BOWLER,RHB,RIGHT ARM Fast,1,37,15,22,"RPS, KKR",KKR,8,Capped,200
39,5,FA1,Josh,Hazlewood,Josh Hazlewood,Australia,,08-01-1991,31,BOWLER,LHB,RIGHT ARM Fast,56,56,24,12,CSK,CSK,9,Capped,200
40,5,FA1,Prasidh,Krishna,Prasidh Krishna,India,KSCA,19-02-1996,26,BOWLER,RHB,RIGHT ARM Fast,3,,34,KKR,KKR,10,Capped,100,
